3,-7.93,5.43,-0.99
3,-7.97,5.13,-1.14
3,-7.97,5.22,-1.38
3,-7.93,5.6,-1.18
3,-7.89,5.43,-0.84
3,-8.16,5.09,-0.84
3,-8.16,6.4,-0.04
3,-8.58,5.98,-0.04
3,-8.28,5.13,-1.04
3,-7.55,5.05,-1.38
3,-8.12,5.37,-1.42
3,-8.01,5.37,-1.5
3,-8.43,5.6,-1.23
3,-8.54,5.28,-0.08
3,-7.89,5.83,-0.72
3,-7.63,5.48,-1.23
3,-7.89,5.43,-1.33
3,-8.05,5.18,-1.73
3,-8.05,5.52,-1.38
3,-8.12,5.48,-0.89
3,-8.35,5.37,-0.04
3,-8.47,5.75,0
3,-7.89,5.71,-1.12
3,-7.97,5.33,-1.14
3,-8.05,5.67,-1.04
3,-7.97,5.6,-0.61
3,-8.2,5.33,-0.95
3,-7.89,5.43,-0.95
3,-7.82,5.71,-0.8
3,-8.05,5.9,-0.57
3,-8.12,5.28,-0.99
3,-8.16,5.28,-1.18
3,-8.12,5.33,-1.18
3,-7.86,5.33,-1.27
3,-7.74,5.48,-1.31
3,-8.54,5.33,-0.31
3,-8.54,5.13,-0.08
3,-7.93,5.63,-0.72
3,-7.7,6.09,-1.04
3,-8.01,5.48,-0.95
3,-8.24,5.09,-0.95
3,-8.12,5.24,-0.69
3,-8.08,5.24,-1.18
3,-7.93,5.22,-1.23
3,-8.05,5.33,-1.04
3,-8.08,5.63,-0.61
3,-7.82,5.94,-0.5
3,-8.08,5.43,-0.93
3,-8.2,5.28,-1.18
3,-7.78,5.52,-0.99
3,-8.16,5.18,-1.08
3,-8.05,5.09,-1.14
3,-8.01,5.6,-0.89
3,-8.05,6.02,-0.57
3,-8.2,5.52,-0.46
3,-8.16,5.18,-0.95
3,-7.93,5.22,-1.33
3,-7.93,5.41,-1.38
3,-8.24,5.09,-1.12
3,-8.24,5.86,-0.42
3,-8.12,6.63,0.3
3,-8.31,5.94,0.15
3,-7.93,4.94,-1.5
3,-8.12,5.13,-1.61
3,-7.78,5.13,-1.5
3,-7.7,5.98,-1.33
3,-8.16,6.02,-0.34
3,-8.39,5.43,-0.19
3,-7.93,5.28,-1.14
3,-7.74,5.56,-1.5
3,-7.82,5.94,-1.42
3,-8.16,5.05,-1.04
3,-8.47,5.43,-0.27
3,-8.31,6.13,0.27
3,-8.01,6.02,-1.08
3,-8.05,5.18,-1.31
3,-7.89,5.37,-1.18
3,-8.05,5.05,-0.95
3,-8.28,5.33,-0.89
3,-8.05,6.13,-0.04
3,-8.01,5.63,-0.42
3,-7.97,5.6,-0.84
3,-8.01,5.43,-1.04
3,-8.01,5.33,-0.8
3,-8.2,5.09,-0.69
3,-8.31,5.28,-0.8
3,-7.93,5.83,-0.72
3,-7.89,5.6,-0.57
3,-8.16,5.41,-0.65
3,-8.08,5.56,-0.8
3,-8.08,5.48,-0.89
3,-8.08,5.37,-0.69
3,-8.28,5.09,-1.08
3,-8.05,5.13,-1.18
